[2026-04-24_11:13:13] Epoch:1/100, lr:0.1, train_loss:1.6876836486008702, top1:0.4379999923706055, top5:0.9029999542236328
[2026-04-24_11:13:23] Epoch:2/100, lr:0.1, train_loss:1.1246935755622631, top1:0.5934000015258789, top5:0.9493000030517578
[2026-04-24_11:13:32] Epoch:3/100, lr:0.1, train_loss:0.8525513869767286, top1:0.6387999725341796, top5:0.9758999633789063
[2026-04-24_11:13:41] Epoch:4/100, lr:0.1, train_loss:0.6667438768306557, top1:0.7433000183105469, top5:0.9829000091552734
[2026-04-24_11:13:50] Epoch:5/100, lr:0.1, train_loss:0.535730915866336, top1:0.7537999725341797, top5:0.9870999908447265
[2026-04-24_11:13:59] Epoch:6/100, lr:0.1, train_loss:0.4343387514961009, top1:0.7804000091552734, top5:0.9893999481201172
[2026-04-24_11:14:08] Epoch:7/100, lr:0.1, train_loss:0.3633613535488138, top1:0.7275, top5:0.9740999603271484
[2026-04-24_11:14:17] Epoch:8/100, lr:0.1, train_loss:0.30106874129601885, top1:0.773499984741211, top5:0.9866999816894532
[2026-04-24_11:14:26] Epoch:9/100, lr:0.1, train_loss:0.23979443380114984, top1:0.7593999481201172, top5:0.9868999481201172
[2026-04-24_11:14:35] Epoch:10/100, lr:0.1, train_loss:0.1971252055800691, top1:0.7722999572753906, top5:0.9816999816894532
[2026-04-24_11:14:45] Epoch:11/100, lr:0.1, train_loss:0.16343684684561224, top1:0.8008000183105469, top5:0.9884999847412109
[2026-04-24_11:14:54] Epoch:12/100, lr:0.1, train_loss:0.15073036204795448, top1:0.7847999572753906, top5:0.9895999908447266
[2026-04-24_11:15:03] Epoch:13/100, lr:0.1, train_loss:0.13444023748517644, top1:0.7354999542236328, top5:0.9779999542236328
[2026-04-24_11:15:12] Epoch:14/100, lr:0.1, train_loss:0.13572301861963101, top1:0.774000015258789, top5:0.9848999786376953
[2026-04-24_11:15:22] Epoch:15/100, lr:0.1, train_loss:0.1179896947376582, top1:0.7762999725341797, top5:0.9868000030517579
[2026-04-24_11:15:31] Epoch:16/100, lr:0.1, train_loss:0.11115459793684435, top1:0.7565999603271485, top5:0.9769999694824218
[2026-04-24_11:15:40] Epoch:17/100, lr:0.1, train_loss:0.10907319032263998, top1:0.7983000183105469, top5:0.9855999755859375
[2026-04-24_11:15:50] Epoch:18/100, lr:0.1, train_loss:0.10979664690640507, top1:0.783499984741211, top5:0.9841999816894531
[2026-04-24_11:15:59] Epoch:19/100, lr:0.1, train_loss:0.1096845744367765, top1:0.7763999938964844, top5:0.9863999938964844
[2026-04-24_11:16:08] Epoch:20/100, lr:0.1, train_loss:0.09448811919333375, top1:0.7690999603271484, top5:0.9761000061035157
[2026-04-24_11:16:18] Epoch:21/100, lr:0.1, train_loss:0.10933824820558027, top1:0.7812999725341797, top5:0.9858999633789063
[2026-04-24_11:16:27] Epoch:22/100, lr:0.1, train_loss:0.10732935093419284, top1:0.7376000213623047, top5:0.9808999633789063
[2026-04-24_11:16:36] Epoch:23/100, lr:0.1, train_loss:0.11080275204184713, top1:0.768699951171875, top5:0.9838999938964844
[2026-04-24_11:16:45] Epoch:24/100, lr:0.1, train_loss:0.09753518870898656, top1:0.7879000091552735, top5:0.9893000030517578
[2026-04-24_11:16:55] Epoch:25/100, lr:0.1, train_loss:0.08957691534365318, top1:0.730999984741211, top5:0.9829999542236328
[2026-04-24_11:17:04] Epoch:26/100, lr:0.1, train_loss:0.0928404847426074, top1:0.7970999908447266, top5:0.9870999908447265
[2026-04-24_11:17:13] Epoch:27/100, lr:0.1, train_loss:0.09098640952867512, top1:0.7986000061035157, top5:0.9843999481201172
[2026-04-24_11:17:22] Epoch:28/100, lr:0.1, train_loss:0.09030830095122967, top1:0.7973999786376953, top5:0.9847000122070313
[2026-04-24_11:17:31] Epoch:29/100, lr:0.1, train_loss:0.09497494725700543, top1:0.7895999908447265, top5:0.9793999481201172
[2026-04-24_11:17:41] Epoch:30/100, lr:0.1, train_loss:0.08962207492821071, top1:0.7725, top5:0.9843999481201172
[2026-04-24_11:17:50] Epoch:31/100, lr:0.1, train_loss:0.08950097199377356, top1:0.7577999877929688, top5:0.981199951171875
[2026-04-24_11:17:59] Epoch:32/100, lr:0.1, train_loss:0.09144782832804688, top1:0.7881999969482422, top5:0.9823999786376953
[2026-04-24_11:18:08] Epoch:33/100, lr:0.1, train_loss:0.07960860900656909, top1:0.7838999938964843, top5:0.9804000091552735
[2026-04-24_11:18:17] Epoch:34/100, lr:0.1, train_loss:0.09858299848832647, top1:0.8015000152587891, top5:0.9863999938964844
[2026-04-24_11:18:27] Epoch:35/100, lr:0.1, train_loss:0.09054808743412093, top1:0.7858999633789062, top5:0.9819999694824219
[2026-04-24_11:18:36] Epoch:36/100, lr:0.1, train_loss:0.09047455815788434, top1:0.7633999633789063, top5:0.9856999969482422
[2026-04-24_11:18:45] Epoch:37/100, lr:0.1, train_loss:0.07358849247233296, top1:0.7608999633789062, top5:0.9832999420166015
[2026-04-24_11:18:54] Epoch:38/100, lr:0.1, train_loss:0.09761836545123738, top1:0.7875999450683594, top5:0.9857999420166016
[2026-04-24_11:19:03] Epoch:39/100, lr:0.1, train_loss:0.08331094931202884, top1:0.7911000061035156, top5:0.9790999603271484
[2026-04-24_11:19:12] Epoch:40/100, lr:0.1, train_loss:0.08842168602978392, top1:0.7777999877929688, top5:0.9830999755859375
[2026-04-24_11:19:22] Epoch:41/100, lr:0.1, train_loss:0.08349906752950378, top1:0.7802999877929687, top5:0.985999984741211
[2026-04-24_11:19:31] Epoch:42/100, lr:0.1, train_loss:0.06911915029418103, top1:0.8147999572753907, top5:0.9825
